Nr;Bezeichnung;Preis;Gruppe
312900;NYM-J 3 X 1,5;38,00 €;NYM-J Mantelleitung 
312901;NYM-J 3 X 2,5;65,80 €;NYM-J Mantelleitung 
312910;NYM-J 4 X 1,5;62,80 €;NYM-J Mantelleitung 
312920;NYM-J 5 X 1,5;59,80 €;NYM-J Mantelleitung 
312925;NYM-J 5 X 16;620,00 €;NYM-J Mantelleitung 
775637;Kreuzschalter;9,00 €;AP-FR-Schalterprogramm 
775638;Taster, Schließer 1-polig;5,20 €;AP-FR-Schalterprogramm 
775639;Taster, Schließer 1-polig mitGlimmlampe;8,40 € ;AP-FR-Schalterprogramm 
312926;NYM-J 5 X 25;998,00 €;NYM-J Mantelleitung 
312930;NYM-J 7 X 1,5;118,00 €;NYM-J Mantelleitung 
520600;B, 6 A 1-polig;8,80 €;Leitungsschutzschalter 
521000;B, 10 A 1-polig;6,10 €;Leitungsschutzschalter 
521300;B, 13 A 1-polig;7,80 €;Leitungsschutzschalter 
521600;B, 16 A 1-polig;4,90 €;Leitungsschutzschalter 
312921;NYM-J 5 X 2,5;99,80 €;NYM-J Mantelleitung 
312922;NYM-J 5 X 4;183,00 €;NYM-J Mantelleitung 
312923;NYM-J 5 X 6;232,00 €;NYM-J Mantelleitung 
312924;NYM-J 5 X 10;392,00 €;NYM-J Mantelleitung 
522000;B, 20 A 1-polig;7,50 €;Leitungsschutzschalter 
522500;B, 25 A 1-polig;8,20 €;Leitungsschutzschalter 
523200;B, 32 A 1-polig;8,40 €;Leitungsschutzschalter 
682207;3 Schließer 1 Öffner 4-polig;39,60 €;Stromstoßschalter 
682208;4 Schließer 4-polig;39,60 €;Stromstoßschalter 
775636;Aus- Wechselschalter;4,00 €;AP-FR-Schalterprogramm 
682203;1 Schließer 1-polig;19,80 €;Stromstoßschalter 
682204;1 Schließer 1 Öffner 2-poiig;25,30 €;Stromstoßschalter 
682205;2 Schließer 2-polig;25,30 €;Stromstoßschalter 
775640;Serienschalter;6,50 €;AP-FR-Schalterprogramm 
775641;Steckdose 1 -fach;3,60 €;AP-FR-Schalterprogramm
