Klasse bli bla blubb blubber
M1IMU M1IMU AB 
M1IM M1IM AB Teilzeit 
M2IM M2IM CD Teilzeit 
M3IMU M3IMU GM 
M3IM M3IM CD Teilzeit 
M4IM M4IM CD Teilzeit 
M1AF/MV M1AF M1MV AB Teilzeit 
M1WZ M1WZ AB Teilzeit 
M2AF/MV M2AF M2MV PE Teilzeit 
M2WZ M2WZ CD Teilzeit 
M3WZ M3WZ AB Teilzeit 
M4WZ M4WZ AB Teilzeit 
M2AH M2AH XC Teilzeit 
M3AH M3AH XC Teilzeit 
M4AH M4AH XC Teilzeit 
R2PW R2PW AG Teilzeit 
R3PW R3PW AG Teilzeit 
R4PW R4PW AG Teilzeit 
E1FI1 E1FI1 E1FS DZ Teilzeit 
E1FI2 E1FI2 DZ 
E2FI1 E2FI1 E2FS XG Teilzeit 
E2FI2 E2FI2 WG Teilzeit 
E3FI1 E3F1I E3FS XS Teilzeit 
E3FI2 E3FI2 XS 
E1GS E1GS DY Teilzeit 
E2GS E2GS HR Teilzeit 
E3GS E3GS FS Teilzeit 
