Raumnummer;Hostname;Hardwaregruppe;MAC;IP;lupp;li;la;lala;lu;opsi
e111;bli;hp;E88088A47C92;192.168.2.1;;1;1;classroom-studentcomputer;1;3
e111;horst;lenovo;E88088A47C9A;10.1.1.12;;1;1;classroom-studentcomputer;1;3
e123;horst2;lenovo;E88088A47C92;192.168.1.2;;1;1;classroom-studentcomputer;1;3
e211;e211PC50b;lenovo;E88088A4791A;10.1.211.50;;1;1;classroom-studentcomputer;1;3
e211;e211PC48b;lenovo;E88088A3DCCB;10.1.211.48;;1;1;classroom-studentcomputer;1;3
e211;e211PC47b;lenovo;E88088A47C9A;10.1.211.47;;1;1;classroom-studentcomputer;1;3
e211;e211PC46b;lenovo;E88088A3DCD0;10.1.211.46;;1;1;classroom-studentcomputer;1;3
e211;e211PC45b;lenovo;E88088A478F2;10.1.211.45;;1;1;classroom-studentcomputer;1;3
e211;e211PC44b;lenovo;E88088A4788A;10.1.211.44;;1;1;classroom-studentcomputer;1;3
e211;e211PC43b;lenovo;E88088A478F6;10.1.211.43;;1;1;classroom-studentcomputer;1;3
e211;e211PC31b;lenovo;E88088A47958;10.1.211.31;;1;1;classroom-studentcomputer;1;3
e211;e211PC40b;lenovo;E88088A478C8;10.1.211.40;;1;1;classroom-studentcomputer;1;3
e211;e211PC39b;lenovo;E88088A3DCCA;10.1.211.39;;1;1;classroom-studentcomputer;1;3
e211;e211PC38b;lenovo;E88088A3DCD3;10.1.211.38;;1;1;classroom-studentcomputer;1;3
e211;e211PC37b;lenovo;E88088A47814;10.1.211.37;;1;1;classroom-studentcomputer;1;3
e211;e211PC36b;lenovo;E88088A47FB3;10.1.211.36;;1;1;classroom-studentcomputer;1;3
e211;e211PC35b;lenovo;E88088A4794E;10.1.211.35;;1;1;classroom-studentcomputer;1;3
e211;e211PC34b;lenovo;E88088A3DE28;10.1.211.34;;1;1;classroom-studentcomputer;1;3
e211;e211PC33b;lenovo;E88088A47EB3;10.1.211.33;;1;1;classroom-studentcomputer;1;3
e211;e211PC32b;lenovo;E88088A3DDDA;10.1.211.32;;1;1;classroom-studentcomputer;1;3
e211;e211PC41b;lenovo;E88088A47A21;10.1.211.41;;1;1;classroom-studentcomputer;1;3
e211;e211PC42b;lenovo;E88088A3DCBC;10.1.211.42;;1;1;classroom-studentcomputer;1;3
e299;hörsterle;hpo;E88088A47C9B;10.3.1.2;;1;1;classroom-studentcomputer;1;3
